"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"08-Sep-2009","     4782.85","     4842.20","     4782.65","     4805.25","      310692738","        11901.18"
"09-Sep-2009","     4804.90","     4825.05","     4783.50","     4814.25","      239157623","         9314.22"
"10-Sep-2009","     4814.35","     4889.05","     4807.90","     4819.40","      235712405","         9264.17"
"11-Sep-2009","     4819.40","     4856.15","     4791.55","     4829.55","      236392562","         8539.69"
"14-Sep-2009","     4830.35","     4832.25","     4786.25","     4808.60","      168557296","         6265.34"
"15-Sep-2009","     4808.35","     4899.45","     4808.35","     4892.10","      215325851","         7811.97"
"16-Sep-2009","     4894.65","     4966.30","     4894.65","     4958.40","      240095210","         9361.60"
"17-Sep-2009","     4958.55","     5003.05","     4944.15","     4965.55","      270017278","        12490.14"
"18-Sep-2009","     4963.95","     4980.85","     4931.90","     4976.05","      222101079","         9124.75"
"22-Sep-2009","     4977.10","     5036.30","     4977.10","     5020.20","      189005727","         7643.28"
"23-Sep-2009","     5019.95","     5030.75","     4957.05","     4969.95","      213349260","         7733.22"
"24-Sep-2009","     4977.15","     5016.70","     4904.05","     4986.55","      266932031","        11724.18"
"25-Sep-2009","     4985.10","     4994.35","     4931.25","     4958.95","      179960712","         7401.44"
"29-Sep-2009","     4959.15","     5020.25","     4959.10","     5006.85","      174803950","         7287.18"
"30-Sep-2009","     5007.65","     5087.60","     5004.35","     5083.95","      184790308","         9175.80"
"01-Oct-2009","     5087.20","     5110.50","     5057.05","     5083.40","      224761213","        10100.10"
"05-Oct-2009","     5076.05","     5076.05","     4991.95","     5003.20","      239335078","         9807.70"
"06-Oct-2009","     5003.65","     5034.70","     4921.05","     5027.40","      367279763","        12542.57"
"07-Oct-2009","     5031.70","     5077.00","     4972.95","     4985.75","      266221987","        10939.13"
"08-Oct-2009","     5011.25","     5043.05","     4971.75","     5002.25","      294680002","        12051.82"
"09-Oct-2009","     4993.00","     5032.60","     4934.55","     4945.20","      215439682","         9481.39"
"12-Oct-2009","     4945.45","     5068.05","     4945.45","     5054.25","      187302253","         8342.17"
"14-Oct-2009","     5054.35","     5127.40","     5054.35","     5118.20","      243364399","        10025.05"
"15-Oct-2009","     5118.55","     5152.25","     5077.10","     5108.85","      258099954","         9833.70"
"16-Oct-2009","     5108.65","     5149.65","     5093.20","     5142.15","      208175454","         9471.33"
"17-Oct-2009","     5159.35","     5176.80","     5124.25","     5141.80","       41376778","         1697.89"
"20-Oct-2009","     5145.60","     5181.95","     5102.65","     5114.45","      199616623","         8313.74"
"21-Oct-2009","     5114.85","     5117.45","     5051.65","     5063.60","      206631723","         8374.00"
"22-Oct-2009","     5063.35","     5064.25","     4968.45","     4988.60","      219560144","         8830.32"
"23-Oct-2009","     4986.55","     5054.95","     4983.25","     4997.05","      223335499","         9106.05"
"26-Oct-2009","     4997.15","     5033.75","     4961.35","     4970.90","      201756762","         7658.71"
"27-Oct-2009","     4970.55","     4970.55","     4829.50","     4846.70","      324126841","        11514.15"
"28-Oct-2009","     4846.55","     4867.00","     4784.10","     4826.15","      291607710","        10325.07"
"29-Oct-2009","     4826.10","     4826.10","     4738.40","     4750.55","      354052799","        12068.69"
"30-Oct-2009","     4751.10","     4853.65","     4687.50","     4711.70","      321182346","        11459.69"
"03-Nov-2009","     4712.25","     4729.85","     4538.50","     4563.90","      319392344","        10141.77"
"04-Nov-2009","     4567.30","     4717.80","     4565.00","     4710.80","      342877732","         9466.04"
"05-Nov-2009","     4711.65","     4776.35","     4610.60","     4765.55","      337186106","         9405.39"
"06-Nov-2009","     4767.50","     4836.20","     4764.85","     4796.15","      279503737","         8883.60"
"09-Nov-2009","     4796.15","     4905.25","     4789.90","     4898.40","      242563827","         8196.63"
"10-Nov-2009","     4898.90","     4947.70","     4860.10","     4881.70","      273281602","        10543.75"
"11-Nov-2009","     4882.30","     5016.70","     4870.05","     5003.95","      251115661","         8792.44"
"12-Nov-2009","     5004.40","     5014.40","     4924.75","     4952.65","      282046035","         9208.49"
"13-Nov-2009","     4952.35","     5017.90","     4942.65","     4998.95","      217419912","         7494.31"
"16-Nov-2009","     4996.50","     5073.20","     4994.00","     5058.05","      218547707","         7043.04"
"17-Nov-2009","     5058.95","     5074.00","     5010.15","     5062.25","      211034152","         7812.63"
"18-Nov-2009","     5061.50","     5079.30","     5041.65","     5054.70","      204346736","         8091.52"
"19-Nov-2009","     5043.95","     5053.45","     4963.70","     4989.00","      286198276","         7711.46"
"20-Nov-2009","     4988.75","     5063.30","     4932.80","     5052.45","      289285202","         8643.31"
"23-Nov-2009","     5052.95","     5113.10","     5052.10","     5103.55","      193875423","         7446.11"
"24-Nov-2009","     5105.00","     5112.85","     5053.50","     5090.55","      201324276","         7621.19"
"25-Nov-2009","     5091.55","     5138.00","     5078.35","     5108.15","      185171466","         7277.12"
"26-Nov-2009","     5116.45","     5116.45","     4986.05","     5005.55","      250067337","         9534.57"
"27-Nov-2009","     5005.05","     5005.05","     4806.70","     4941.75","      304958891","         9312.59"
"30-Nov-2009","     4942.25","     5066.35","     4942.25","     5032.70","      299569170","         8574.32"
"01-Dec-2009","     5039.70","     5130.35","     5038.85","     5122.00","      301878674","         8492.32"
"02-Dec-2009","     5122.75","     5161.75","     5111.75","     5123.25","      284763865","         9308.75"
"03-Dec-2009","     5124.55","     5181.00","     5106.60","     5131.70","      225726200","         7683.05"
"04-Dec-2009","     5131.70","     5161.80","     5081.85","     5108.90","      207469832","         6960.55"
"07-Dec-2009","     5108.85","     5131.30","     5051.55","     5066.70","      213116933","         6588.43"
"08-Dec-2009","     5068.55","     5152.55","     5058.90","     5147.95","      222744006","         7547.17"
"09-Dec-2009","     5147.65","     5147.65","     5090.60","     5112.00","      240039269","         7722.75"
"10-Dec-2009","     5112.40","     5146.45","     5084.65","     5134.65","      212775673","         7096.21"
"11-Dec-2009","     5136.05","     5182.55","     5088.40","     5117.30","      207026470","         7248.57"
"14-Dec-2009","     5117.45","     5156.70","     5090.15","     5105.70","      171684929","         6543.06"
"15-Dec-2009","     5105.75","     5129.45","     5018.25","     5033.05","      198962362","         7220.77"
"16-Dec-2009","     5032.95","     5067.25","     5001.80","     5042.05","      202112014","         7124.61"
"17-Dec-2009","     5046.65","     5064.20","     5013.15","     5041.75","      219465268","         7063.39"
"18-Dec-2009","     5042.00","     5043.40","     4979.05","     4987.70","      199329425","         6833.57"
"21-Dec-2009","     4983.65","     4997.85","     4943.95","     4952.60","      168156865","         6022.70"
"22-Dec-2009","     4953.35","     4997.30","     4953.35","     4985.85","      164377140","         5249.29"
"23-Dec-2009","     4990.05","     5150.60","     4990.05","     5144.60","      250734148","         7599.02"
"24-Dec-2009","     5144.80","     5197.90","     5129.05","     5178.40","      202176013","         6459.65"
"29-Dec-2009","     5180.75","     5214.60","     5175.85","     5187.95","      160527908","         5480.14"
"30-Dec-2009","     5188.75","     5197.05","     5160.10","     5169.45","      147546797","         4922.14"
"31-Dec-2009","     5171.20","     5221.85","     5168.75","     5201.05","      188092940","         7236.94"
